word1,word2,score
آبی,دریا,0.72
آبی,آسمان,0.78
آبی,آب,0.74
آبی,اقیانوس,0.67
سبز,جنگل,0.78
سبز,درخت,0.76
سبز,گیاه,0.76
سبز,طبیعت,0.69
قرمز,خون,0.78
قرمز,آتش,0.64
سفید,برف,0.80
سفید,ابر,0.62
زرد,خورشید,0.68
زرد,آفتاب,0.63
قهوه ای,خاک,0.65
قهوه ای,قهوه,0.70
سیاه,شب,0.67
سیاه,تاریکی,0.75
نارنجی,پرتقال,0.76
صورتی,گل,0.67
طلا,طلایی,0.95
طلا,سرمایه گذاری,0.74
طلا,بازار,0.60
دلار,ارز,0.93
دلار,بازار,0.66
دلار,پول,0.82
بانک,اقتصاد,0.63
بانک,بازار,0.58
بانک,شرکت,0.43
اینترنت,شبکه اجتماعی,0.72
اینترنت,تلفن,0.52
اینترنت,رسانه,0.55
کامپیوتر,برنامه نویسی,0.77
کامپیوتر,هوش مصنوعی,0.68
برنامه نویسی,هوش مصنوعی,0.73
برنامه نویسی,ریاضی,0.55
داده,آمار,0.82
داده,هوش مصنوعی,0.78
داده,پژوهش,0.72
الگوریتم,ریاضی,0.72
الگوریتم,منطق,0.70
شبکه عصبی,مغز,0.66
مدل زبانی,زبان,0.76
متن,ادبیات,0.58
متن,زبان,0.74
کلمه,زبان,0.82
کلمه,ادبیات,0.61
کتاب,دانشگاه,0.57
کتاب,مدرسه,0.61
کتاب,ادبیات,0.83
کتابخانه,دانشگاه,0.69
پژوهش,دانشگاه,0.81
پژوهش,علم,0.91
آزمایش,علم,0.82
آزمایش,پزشک,0.66
پزشک,سلامتی,0.84
پزشک,بدن,0.58
ورزش,سلامتی,0.82
ورزش,بدن,0.75
میوه,سلامتی,0.68
سبزی,سلامتی,0.69
خواب,سلامتی,0.74
خستگی,خواب,0.82
قهوه,خستگی,0.46
قهوه,صبح,0.63
صبح,خورشید,0.65
شب,ماه,0.82
شب,ستاره,0.78
آسمان,فضا,0.72
آسمان,هواپیما,0.72
هواپیما,سفر,0.86
قطار,سفر,0.82
ماشین,سفر,0.64
جاده,سفر,0.76
دریا,سفر,0.54
کوه,سفر,0.58
سینما,تفریح,0.77
موسیقی,تفریح,0.72
بازی,تفریح,0.89
فوتبال,تفریح,0.65
فوتبال,ورزش,0.95
شنا,ورزش,0.93
شنا,دریا,0.72
شنا,آب,0.86
گل,عشق,0.68
گل,هدیه,0.67
عشق,دوستی,0.68
عشق,خانواده,0.61
خانواده,خانه,0.75
خانه,آرامش,0.58
خانه,خانواده,0.75
دوست,تفریح,0.55
دوستی,خاطره,0.66
موسیقی,احساس,0.72
فیلم,احساس,0.59
هنر,احساس,0.61
رنگ,نقاشی,0.86
رنگ,هنر,0.72
عکس,رسانه,0.59
ویدیو,رسانه,0.71
خبر,سیاست,0.72
رسانه,سیاست,0.61
قانون,سیاست,0.72
دولت,اقتصاد,0.70
دولت,قانون,0.78
جنگ,تاریخ,0.79
جنگ,نظامی,0.94
ارتش,امنیت,0.72
پلیس,قانون,0.82
پلیس,امنیت,0.89
آتش,آتش نشانی,0.97
آتش,گرما,0.76
آب,آتش نشانی,0.49
باران,آب,0.84
باران,بهار,0.64
برف,زمستان,0.90
آفتاب,تابستان,0.82
برگ,پاییز,0.77
شکوفه,بهار,0.81
کشاورزی,روستا,0.86
کشاورزی,گیاه,0.69
کشاورزی,غذا,0.62
درخت,جنگل,0.94
درخت,طبیعت,0.85
حیوان,طبیعت,0.75
پرنده,آسمان,0.76
ماهی,دریا,0.81
ماهی,غذا,0.59
شیر,حیوان,0.91
شیر,نوشیدنی,0.37
موبایل,اینترنت,0.78
موبایل,شبکه اجتماعی,0.76
موبایل,عکس,0.61
تلفن,ارتباط,0.78
پیام,ارتباط,0.83
زبان,ارتباط,0.74
زبان,فرهنگ,0.72
ادبیات,فرهنگ,0.82
تاریخ,فرهنگ,0.76
موزه,تاریخ,0.84
موزه,هنر,0.69
شهر,جامعه,0.74
شهر,بازار,0.55
شهر,ترافیک,0.80
مترو,شهر,0.79
کار,اقتصاد,0.59
شغل,اقتصاد,0.62
شرکت,بازار,0.78
کسب و کار,بازار,0.90
پروژه,کار,0.82
پروژه,برنامه نویسی,0.55
پروژه,مدیریت,0.81
پول,خرید,0.72
پول,فروش,0.66
پول,بانک,0.89
باران,قطره,0.93
باران,چتر,0.78
باران,رعد,0.82
